Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_LargeAddressAware;Job_Platform;Job_PowerPlanMode;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_NuGetReferences;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MemoryRandomization;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Jitting;1;177000;100;1770;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Jitting;1;561800;100;5618;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Jitting;2;148600;1600;92.88;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Jitting;2;1648500;1600;1030.31;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Pilot;1;1634500;1600;1021.56;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Pilot;2;2959800;3200;924.94;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Pilot;3;6183600;6400;966.19;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Pilot;4;10868800;12800;849.13;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Pilot;5;21015600;25600;820.92;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Pilot;6;42461900;51200;829.33;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Pilot;7;86036800;102400;840.2;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Pilot;8;95963300;204800;468.57;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Pilot;9;128852500;409600;314.58;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Pilot;10;259669100;819200;316.98;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Workload;Pilot;11;526562700;1638400;321.39;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Warmup;1;29200;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Warmup;2;32900;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Warmup;3;35500;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Warmup;4;34600;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Warmup;5;32700;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Warmup;6;32300;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Warmup;7;34000;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Warmup;8;34500;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Warmup;9;30400;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;1;30500;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;2;133900;1638400;0.08;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;3;34800;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;4;29900;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;5;29500;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;6;30700;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;7;47900;1638400;0.03;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;8;141300;1638400;0.09;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;9;34900;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;10;34500;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;11;34400;1638400;0.02;10;0;0;40
ArrayBenchmarks.HeapSort;;ArrayBenchmarks;HeapSort;Job-GMMAEE;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;10;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;5;"Job-GMMAEE(IterationCount=10, RunStrategy=Throughput, WarmupCount=5)";N=1000&ArrayType=Random;1;Overhead;Actual;12;35300;1638400;0.02;10;0;0;40
